feature,importance
V258,0.15733269
V201,0.069660306
V257,0.06880022
V294,0.031604458
V70,0.02865101
V91,0.02235583
C8,0.01225817
id_35,0.0114071965
C14,0.011143898
V187,0.00894838
V283,0.0075271702
V317,0.0075080344
V336,0.007504281
C4,0.007449091
V295,0.005655653
C10,0.0055890763
V315,0.0049920618
V29,0.0049567944
C1,0.0049461722
card6,0.0048388247
V324,0.0044912016
D2,0.004019614
M4,0.0039012025
C13,0.0038224678
ProductCD,0.0037345581
V48,0.0037303506
V312,0.0036026766
V327,0.003575855
C11,0.003479258
V308,0.0034424958
V49,0.0034377836
V200,0.003106821
C5,0.003056891
V45,0.0030415102
V102,0.0030386646
V90,0.0030230146
V69,0.0028977343
V298,0.0028559838
C12,0.0028544765
V326,0.0028135655
V296,0.0027792314
V225,0.0027411182
V34,0.0027075822
V262,0.0026657847
id_17,0.0026562146
V281,0.0026098553
V333,0.0026050475
V156,0.0025606488
V53,0.002501735
V162,0.002414579
D3,0.00240502
V323,0.002386323
V320,0.0023821017
id_03,0.0023645768
V322,0.0023479764
V318,0.0023060434
C6,0.0022891022
V165,0.0022650352
id_09,0.0022144874
id_01,0.0022021362
V331,0.002183245
card3,0.0021721418
V335,0.0021539554
V12,0.0021214641
M6,0.0021034207
V269,0.0020941747
V224,0.0020850291
V149,0.0020803076
V76,0.002056241
V94,0.0020478969
V172,0.0020472503
id_32,0.0020443469
M5,0.0020382558
V62,0.00203475
V72,0.0020312439
V210,0.002026
V112,0.0019734078
V223,0.0019637598
V82,0.0019375895
V87,0.0019190223
V58,0.001914121
V285,0.0018943739
V131,0.0018575226
D1,0.001849319
V286,0.0018355116
C2,0.0018266569
D15,0.0018204283
V248,0.0018187175
V314,0.001812617
V189,0.0018095544
V71,0.0017996725
V152,0.00179879
TransactionAmt.1,0.0017970512
V67,0.0017646062
V54,0.001749061
V83,0.0017412022
C9,0.0017252779
R_emaildomain,0.0017150538
V313,0.0017083955
V128,0.001690832
id_36,0.0016891186
V103,0.0016791598
V163,0.0016757946
V36,0.0016738898
V209,0.0016723754
M2,0.0016664525
V115,0.0016627763
V50,0.0016500198
V243,0.0016212965
DeviceType,0.0016207844
id_34,0.0016176187
V268,0.00161211
V280,0.0016104337
V171,0.001603888
V100,0.0016001743
V133,0.0015880606
V47,0.0015729825
V33,0.0015727802
V63,0.0015702379
M3,0.0015653945
V247,0.0015647445
V161,0.0015608446
V110,0.0015482091
V244,0.001540917
V261,0.0015105823
V136,0.0015104827
D4,0.0014863246
V51,0.0014818257
card5,0.0014672636
V271,0.0014651599
V289,0.0014565747
V219,0.001449677
V74,0.0014459823
TransactionAmt_min,0.0014451817
M9,0.0014340843
D10,0.0014233241
V13,0.0014188993
V160,0.0014042943
C3,0.001396339
V20,0.0013954432
V124,0.0013899866
dist1,0.001388579
V310,0.0013850082
V56,0.0013835427
V57,0.0013828496
TransactionAmt,0.0013778673
V249,0.0013741949
V158,0.0013720226
V197,0.0013708202
V64,0.0013688471
P_emaildomain,0.001364115
D11,0.0013557828
V52,0.0013519673
card2,0.0013418369
TransactionAmt_mean,0.0013379825
id_04,0.0013332738
V108,0.0013332184
V26,0.0013299391
V309,0.0013292108
V92,0.0013292051
card1,0.0013259226
TransactionDT,0.0013224141
V170,0.0013128436
V207,0.0013104592
V93,0.0013075743
addr1,0.0013032894
V109,0.001297821
V251,0.0012893964
V116,0.0012882281
V55,0.0012847608
V175,0.0012826287
V61,0.0012784434
id_30,0.0012770658
V208,0.001275469
id_14,0.0012709785
V35,0.0012656667
TransactionID,0.0012641575
V44,0.0012620476
V75,0.0012596087
V282,0.0012501585
V311,0.001247591
V125,0.0012471321
V242,0.0012439628
V329,0.001241137
V38,0.0012315196
V126,0.0012310424
V266,0.0012281019
V5,0.001226042
V134,0.0012165675
V288,0.0012156012
V129,0.0011958325
V60,0.0011917688
id_27,0.001191216
V99,0.0011896563
D8,0.0011874015
V192,0.0011873468
V19,0.0011825248
V332,0.0011813503
V95,0.0011719774
card4,0.0011670919
V205,0.0011640463
id_38,0.0011630463
V245,0.00116122
TransactionAmt_max,0.0011595108
V188,0.001159167
V250,0.0011491315
V141,0.0011480111
V21,0.001134728
V154,0.0011319054
V105,0.0011293879
V337,0.0011282146
V78,0.0011266025
id_23,0.0011260764
V300,0.0011258002
V81,0.0011229754
V24,0.0011219522
V8,0.0011179531
V79,0.0011159326
V307,0.001114603
V330,0.0011071105
V130,0.0011070479
V231,0.0011027661
V97,0.0011021384
id_06,0.0011006342
V198,0.0010980433
D6,0.0010920343
V114,0.0010851665
V80,0.001084793
id_31,0.001083603
id_12,0.0010834837
V66,0.0010794566
V2,0.0010759876
V96,0.0010739822
D5,0.001073522
