iter	Logloss
0	0.6267720287
1	0.5777133337
2	0.5369202088
3	0.5070804656
4	0.4805413712
5	0.4606065389
6	0.4459990568
7	0.4331276269
8	0.4220499244
9	0.412730349
10	0.4037451506
11	0.3962560142
12	0.3890602209
13	0.3829826489
14	0.3789120706
15	0.3753565423
16	0.3711289582
17	0.3683532511
18	0.3657732099
19	0.3628288601
20	0.3603779425
21	0.3580525082
22	0.3558817409
23	0.3540264905
24	0.3523337516
25	0.3508152827
26	0.3493554165
27	0.3482465146
28	0.3472762086
29	0.3460279871
30	0.3446363254
31	0.3436446402
32	0.3412918438
33	0.340218681
34	0.3388943678
35	0.337811066
36	0.3367814029
37	0.3358765861
38	0.3352016288
39	0.3338733614
40	0.3333734242
41	0.3323585739
42	0.3317314692
43	0.3309431184
44	0.330168852
45	0.329253285
46	0.3285779619
47	0.3279123985
48	0.3269383966
49	0.3264033625
50	0.3256439554
51	0.324911183
52	0.3242770238
53	0.3238502102
54	0.3234835558
55	0.3226877068
56	0.3215952709
57	0.3211802989
58	0.3201612022
59	0.3195099377
60	0.3186463853
61	0.3181211229
62	0.3174609078
63	0.3167451118
64	0.3162391146
65	0.3157136106
66	0.3151497997
67	0.3142836298
68	0.3137088834
69	0.3129794648
70	0.3123960578
71	0.3118096542
72	0.3113545867
73	0.3106664383
74	0.3101515531
75	0.309774233
76	0.3094090543
77	0.3087632307
78	0.308305719
79	0.3077899037
80	0.3072860002
81	0.3065825531
82	0.3063030422
83	0.3056330458
84	0.3052621163
85	0.3047363002
86	0.3044773971
87	0.3042284239
88	0.303822947
89	0.3031899276
90	0.3029519542
91	0.3026555587
92	0.302028379
93	0.3017692287
94	0.3016043702
95	0.3010785195
96	0.3006411499
97	0.300294962
98	0.2999948747
99	0.2994056135
