iter	Passed	Remaining
0	120	11945
1	209	10253
2	282	9123
3	360	8646
4	462	8778
5	540	8466
6	618	8213
7	691	7946
8	773	7817
9	845	7607
10	922	7460
11	995	7302
12	1062	7113
13	1127	6927
14	1191	6750
15	1251	6568
16	1324	6467
17	1386	6316
18	1464	6242
19	1537	6150
20	1604	6037
21	1667	5911
22	1726	5781
23	1786	5655
24	1843	5531
25	1912	5444
26	1977	5345
27	2076	5339
28	2165	5302
29	2237	5220
30	2312	5146
31	2380	5057
32	2463	5001
33	2542	4935
34	2617	4861
35	2689	4780
36	2751	4684
37	2817	4596
38	2880	4505
39	2955	4433
40	3026	4355
41	3100	4281
42	3160	4189
43	3223	4102
44	3284	4014
45	3346	3928
46	3409	3844
47	3473	3763
48	3542	3687
49	3608	3608
50	3674	3530
51	3747	3459
52	3821	3388
53	3888	3312
54	3952	3233
55	4032	3168
56	4159	3138
57	4228	3062
58	4316	2999
59	4388	2925
60	4458	2850
61	4530	2776
62	4607	2705
63	4674	2629
64	4736	2550
65	4800	2473
66	4860	2393
67	4930	2320
68	5004	2248
69	5075	2175
70	5141	2099
71	5206	2024
72	5322	1968
73	5429	1907
74	5529	1843
75	5609	1771
76	5685	1698
77	5758	1624
78	5833	1550
79	5907	1476
80	5998	1407
81	6088	1336
82	6163	1262
83	6283	1196
84	6398	1129
85	6481	1055
86	6555	979
87	6626	903
88	6700	828
89	6782	753
90	6855	678
91	6922	601
92	6998	526
93	7064	450
94	7125	375
95	7193	299
96	7265	224
97	7331	149
98	7402	74
99	7479	0
